timestamp,open,high,low,close,volume
2022-04-25,135.4100,139.7100,133.2841,135.9500,1534779
2022-04-22,142.5500,146.3000,135.5500,138.2200,1569608
2022-04-21,150.0000,153.1200,139.9100,141.5600,1684367
2022-04-20,152.0000,152.3300,146.6500,148.8500,1155879
2022-04-19,142.8500,152.9800,139.8595,152.4700,2354169
2022-04-18,150.0000,151.2400,137.2400,141.4600,2467781
2022-04-14,149.2700,156.5000,147.2200,150.7700,2500583
2022-04-13,144.1000,152.1300,142.0200,150.7000,2008225
2022-04-12,146.5000,152.2500,141.6650,144.8700,1999136
2022-04-11,143.0400,148.2200,140.6100,146.9300,2452979
2022-04-08,149.0900,150.7106,142.0300,146.1900,2592879
2022-04-07,154.1100,156.7000,141.5700,150.0000,3827847
2022-04-06,151.0100,159.2873,149.7000,156.6400,4066958
2022-04-05,168.0000,168.4300,152.0000,153.5900,3925009
2022-04-04,166.9800,173.2400,156.5100,170.7300,4640077
2022-04-01,188.9000,189.7688,155.2600,165.0000,13189563
2022-03-31,163.1000,175.7450,158.5100,166.5800,11242228
2022-03-30,175.0000,183.3369,165.0000,166.8500,9169186
2022-03-29,188.2400,199.4100,163.0000,179.9000,18011489
2022-03-28,151.9800,190.8400,151.5450,189.5900,16316524
2022-03-25,140.0400,158.1599,138.2000,151.9500,13263398
2022-03-24,134.0150,143.4800,126.7600,142.3900,9100150
2022-03-23,130.0000,150.9299,126.5500,141.0000,24599841
2022-03-22,95.4000,125.7900,94.4500,123.1400,14033410
2022-03-21,90.0000,99.3992,89.7600,94.2000,3910515
2022-03-18,79.7400,97.4500,78.9000,90.7900,8852319
2022-03-17,85.1000,89.5800,83.4500,87.7000,3449120
2022-03-16,85.1100,90.0100,82.0000,86.8600,2653928
2022-03-15,82.1000,87.5600,78.6800,82.6400,3528798
2022-03-14,93.4300,94.3200,77.5800,78.1100,4533614
2022-03-11,102.6600,102.9000,92.6900,92.6900,2205538
2022-03-10,103.9200,104.0572,98.2512,100.5600,1395467
2022-03-09,106.9800,108.8600,103.5000,105.2100,1399597
2022-03-08,101.0300,108.9900,97.0861,103.0100,2134029
2022-03-07,115.0000,115.0000,96.1025,99.3500,3147865
2022-03-04,118.0100,120.5100,110.5812,111.6600,1480013
2022-03-03,122.9600,123.7400,117.2300,118.4100,1095602
2022-03-02,119.5000,122.6700,116.3714,121.9700,1310650
2022-03-01,122.1900,125.8700,118.3500,119.0200,1096021
2022-02-28,121.0000,126.2850,116.8900,123.3400,1614497
2022-02-25,123.5700,124.9700,116.4850,118.5800,1710255
2022-02-24,105.5300,125.7100,104.1200,124.5800,2256212
2022-02-23,121.2200,123.3550,114.2801,114.8700,1348252
2022-02-22,118.2000,123.3300,114.1850,118.0600,1530798
2022-02-18,124.2000,125.6496,118.1310,121.5300,1553539
2022-02-17,126.7700,130.8479,122.2200,123.4100,1564104
2022-02-16,124.4300,132.8500,123.9200,128.3300,2001931
2022-02-15,120.9600,127.2299,119.2600,126.1600,1980089
2022-02-14,122.9300,125.5000,116.1500,117.0900,2275676
2022-02-11,122.4800,129.8668,120.7706,124.2500,2824777
2022-02-10,117.9500,131.7800,116.0000,122.4700,3706537
2022-02-09,114.0900,124.7100,113.0000,124.2900,3866895
2022-02-08,101.7550,117.6717,100.5500,115.6000,4959906
2022-02-07,102.9900,105.3849,98.7700,102.3400,1759360
2022-02-04,99.0100,104.0000,95.0800,102.3400,1906791
2022-02-03,101.5000,106.9400,97.7100,99.2300,2677519
2022-02-02,110.3500,111.8599,98.0600,100.0400,3279135
